id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
95745,0.661656,tcp,http,FIN,10,10,804,1330,28.715827,62,252,8753.792969,14472.77734,2,2,73.517333,64.571555,4564.721941,110.757008,255,4027744985,1802483418,255,0.109361,0.05091,0.058451,80,133,1,220,6,1,2,2,1,5,0,0,1,2,5,0,Normal,0
44164,1.501572,tcp,http,FIN,60,16,68195,698,49.947654,254,252,357273.5625,3489.676025,27,1,25.052339,102.143141,2413.959242,128.161133,255,1501886734,1889593516,255,0.201299,0.071565,0.129734,1137,44,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
35747,0.022939,tcp,-,FIN,40,42,2542,23508,3531.10419,31,29,864553.8125,8003487.5,7,14,0.579667,0.547829,37.850544,36.773212,255,576950618,2760384187,255,0.000601,0.000475,0.000126,64,560,0,0,8,0,4,1,1,1,0,0,0,6,6,0,Normal,0
13714,0.333839,tcp,ssh,FIN,32,24,3728,5474,164.750074,31,29,86556.69531,125713.2969,7,7,10.769,14.482174,646.395696,18.855139,255,1619850286,3769767619,255,0.000753,0.000625,0.000128,117,228,0,0,1,0,2,1,1,5,0,0,0,3,1,0,Normal,0
32128,0.023857,tcp,-,FIN,50,48,3062,32538,4065.89272,31,29,1006329.438,10683992.0,7,18,0.490708,0.496894,0.0,31.697421,255,457959087,2633609025,255,0.00091,0.0005,0.00041,61,678,0,0,9,0,5,1,1,6,0,0,0,4,8,0,Normal,0
136319,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,16,16,16,26,0,0,0,16,26,0,Generic,1
57368,0.219511,tcp,-,FIN,10,8,472,564,77.444865,254,252,15488.97266,18003.6543,2,2,24.390111,27.390285,1372.203859,49.259012,255,3946740497,2358327248,255,0.030817,0.016798,0.014019,47,71,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,1
90544,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,3,3,3,11,0,0,0,3,10,0,Exploits,1
51025,1.093025,tcp,-,FIN,10,8,2516,354,15.553167,254,252,16577.8457,2268.932617,2,1,115.407,143.608719,7746.846685,195.241047,255,1429360674,4002771407,255,0.133766,0.087756,0.04601,252,44,0,0,3,1,2,1,1,2,0,0,0,2,3,0,Fuzzers,1
89739,2.034724,tcp,smtp,FIN,52,24,48180,1884,36.860036,62,252,185790.3125,7100.717285,23,8,39.896548,85.120563,3270.247065,116.130797,255,2383018343,1552474891,255,0.135775,0.076369,0.059406,927,79,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
